0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Nb:6347.0,Ni:2088.7,I_:1486.2,Cr:745.2,S :618.5,K :223.7,W_:192.2,P :189.5,In:184.9,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,,,,
Nb:4130.7,Ni:2083.5,S :876.6,W_:328.3,Fe:311.6,Ta:220.0,In:199.9,Pd:189.0,In:181.0,Sn:179.6,Pd:176.9,I_:167.6,Pt:155.6,Si:150.4,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,K :483.1,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,Sn:185.1,C_:155.4,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,
Nb:3797.1,Ni:1882.4,C_:289.4,Zr:215.5,Pb:173.3,Ti:168.3,S :164.1,W_:160.2,,,,,,,,,,,,,,
Nb:4740.9,Zr:3896.9,Ca:2356.8,Ni:1716.7,Ta:337.6,W_:329.6,Ti:272.9,Co:272.3,Sb:191.1,Ta:181.0,Fe:162.8,,,,,,,,,,,
I_:3324.4,Nb:3064.1,Ni:1542.7,Al:255.5,V_:235.7,Ta:173.5,,,,,,,,,,,,,,,,
Nb:2795.3,Ni:1530.1,Ti:1073.0,P :347.5,P :322.1,Cu:302.5,Fe:226.2,Sn:199.5,W_:192.3,Pd:160.4,Pd:152.6,,,,,,,,,,,
Ca:5109.1,Nb:3383.7,Fe:2526.6,Ni:1499.2,Bi:1132.4,Pt:190.8,Pd:175.6,Si:155.8,In:154.7,,,,,,,,,,,,,
Ti:4551.3,Nb:2539.4,V_:1941.3,Ni:1283.1,Fe:902.8,Bi:191.3,Pd:185.4,Sn:168.5,,,,,,,,,,,,,,
C_:3180.6,Nb:2573.0,Ni:1265.9,Pd:809.5,W_:580.4,Mo:263.5,Pt:260.9,Bi:198.3,Zr:172.4,Ta:161.8,Sn:152.2,,,,,,,,,,,
Nb:2443.0,Ni:1221.0,Ge:748.2,Zr:392.6,W_:263.6,S :245.4,Si:224.7,I_:224.3,Ta:223.8,Sb:207.6,Fe:207.4,Pb:185.9,W_:184.0,Pd:182.6,In:181.1,Si:165.8,K :161.5,,,,,
Nb:2674.6,Ni:1202.9,Pd:1107.1,In:1074.1,Si:856.5,I_:779.4,Ge:727.9,Zr:527.0,P :283.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,,,,,,,
Nb:2400.1,Ni:1183.5,Zr:460.7,W_:284.0,W_:266.9,Pb:208.6,Pt:177.2,Pt:173.5,Pd:165.5,,,,,,,,,,,,,
Nb:2474.2,Ti:1674.0,Ni:1161.4,In:405.1,Pd:274.4,Pb:191.3,Pt:161.5,Fe:156.5,,,,,,,,,,,,,,
Nb:2339.5,V_:1330.5,Ni:1090.2,Ti:759.3,W_:730.0,,,,,,,,,,,,,,,,,
Nb:1875.0,Ni:1035.5,W_:252.5,W_:242.5,Ti:239.2,In:227.7,Pt:216.4,Pb:188.0,S :173.5,I_:161.7,Bi:150.4,,,,,,,,,,,
Nb:1972.8,Ni:1031.7,Sb:266.7,Pb:257.0,Zr:234.9,In:230.0,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:189.2,Sn:180.4,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,Ta:360.9,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,In:177.1,W_:173.8,Ge:172.9,Fe:159.7,Zr:158.8,,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Mo:342.2,Cu:286.4,Bi:271.5,Ca:199.4,W_:186.7,I_:177.9,S :165.2,Zr:151.7,,,,,,,,,
Nb:1769.9,Ni:979.2,K :493.1,K :489.6,Sn:433.8,Ti:262.9,Fe:236.1,S :224.6,Ta:206.7,W_:182.9,Pb:180.1,Si:178.9,Pt:176.2,Ti:166.6,Zr:162.0,,,,,,,
Nb:2461.7,Ni:972.4,Ti:742.6,W_:207.5,,,,,,,,,,,,,,,,,,
Nb:2446.2,Au:1147.6,Ni:941.5,Ti:365.5,,,,,,,,,,,,,,,,,,
Nb:1807.1,Ti:1303.8,Ni:938.1,I_:203.9,W_:170.1,W_:166.3,Cu:154.5,,,,,,,,,,,,,,,
Nb:1506.8,Ni:886.9,Fe:565.4,W_:256.9,K :214.6,Sb:169.4,Cu:166.6,Zr:159.3,,,,,,,,,,,,,,
Ti:2284.2,Nb:2007.0,Ni:869.3,W_:242.4,In:217.0,,,,,,,,,,,,,,,,,
Nb:1455.9,Si:1101.9,Ni:855.8,Mo:711.5,Pt:403.6,W_:246.1,S :239.7,In:178.5,Sn:160.9,Sb:160.1,,,,,,,,,,,,
Zr:6177.2,Nb:1611.3,Ca:897.9,Ni:851.1,W_:358.7,Bi:205.4,Bi:185.8,K :182.6,Al:180.9,Mo:174.2,Ag:163.9,,,,,,,,,,,
Nb:1843.2,Mo:976.8,Ni:839.9,Ta:493.3,Cu:386.0,Cu:372.4,Ca:283.3,Bi:275.6,I_:248.9,Bi:233.9,Si:195.6,Sb:175.7,Ag:173.9,Co:170.2,Ag:163.4,Sb:150.1,,,,,,
Nb:1498.6,I_:892.1,Ni:818.0,Ti:804.1,Mo:261.2,W_:226.0,Pd:202.5,Zr:160.7,,,,,,,,,,,,,,
Nb:1496.7,Ni:813.1,S :273.4,I_:259.5,Pd:185.4,P :179.9,,,,,,,,,,,,,,,,
Nb:1520.2,Ca:897.9,Ni:775.7,W_:419.0,Bi:185.8,S :168.5,Cu:164.7,Ag:163.9,,,,,,,,,,,,,,
Nb:1454.7,Ti:1049.0,Ni:772.9,W_:277.2,I_:269.4,K :202.8,Pt:170.9,,,,,,,,,,,,,,,
Ti:2416.8,Nb:2033.5,Ni:769.7,V_:474.7,Mo:419.5,Fe:270.5,Ta:209.5,Pd:186.2,Sn:170.9,Au:169.7,Pt:154.7,,,,,,,,,,,
Ti:2569.4,Nb:1510.8,Ni:767.1,Si:248.7,W_:228.0,Ca:196.4,Pb:179.9,K :178.3,Zr:154.3,,,,,,,,,,,,,
Ti:3468.9,Nb:1419.7,Zr:1320.3,Ni:741.3,Au:507.2,V_:313.2,Cd:288.6,S :211.4,I_:154.4,Ge:150.8,,,,,,,,,,,,
Nb:1582.9,Ni:718.5,Ti:445.0,W_:213.7,In:200.3,Pt:186.6,Mo:183.2,Fe:181.1,K :179.3,Pd:173.0,I_:167.7,Sn:153.2,,,,,,,,,,
Cu:8747.5,Nb:1427.2,Ti:1382.3,K :1088.2,Ni:700.2,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,S :241.6,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,,
Nb:1798.8,V_:1497.2,Ni:691.2,Pd:618.7,In:564.2,Si:480.4,S :474.1,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,S :246.7,Sb:245.9,Ge:194.0,Zn:189.3,Zn:154.4,P :153.1,,,,
Nb:1267.2,Ni:654.1,Ta:558.9,Si:210.7,Pb:184.8,,,,,,,,,,,,,,,,,
Ni:645.4,K :405.9,,,,,,,,,,,,,,,,,,,,
Nb:1139.1,Ni:643.6,Zr:388.0,Pb:295.1,Pb:225.8,Fe:160.2,,,,,,,,,,,,,,,,
Ti:2294.4,Nb:1469.2,Ni:642.9,Si:451.0,W_:226.4,,,,,,,,,,,,,,,,,
